Week Num,Location,Set,Bottle,Date,Time,Sample Type,F (mg/L),CL (mg/L),NO2 (mg/L),NO3 (mg/L),SO4 (mg/L),SIO2 (mg/L),NH3 (mg/L),SRP (mg/L),TP (mg/L),TKN (mg/L),SS (mg/L),NPOC (mg/L),TN (mg/L),COND (mჾ)
11,MBG,RU,10,12/08/22,1200,SAMPLE,0.51,77.5,0,1.02,98.3,2.3647,0.0318,0.0192,0.093,1.122,6.59,7.485,2.427,-9
11,MBG,RU,13,12/09/22,1200,SAMPLE,0.51,79.1,0,1.17,101.7,2.4668,0.0072,0.0189,0.1016,1.048,15.69,7.455,2.571,-9
11,MBG,RU,16,12/10/22,1200,SAMPLE,0.52,82.7,0,1.37,105.4,2.3033,0.0192,0.0229,0.0913,1.019,7.84,7.565,2.892,-9
11,MBG,RU,19,12/11/22,1200,SAMPLE,0.52,83.9,0,1.41,105.1,2.099,0.0259,0.0288,0.0903,0.977,5.24,7.695,2.836,-9
11,MBG,RU,24,12/12/22,0925,BOTH,0.49,78.6,0,1.31,96.1,2.0965,0.0301,0.0361,0.096,0.965,3.25,7.998,3.062,-9
14,MBG,RH,1,12/12/22,1200,SAMPLE,0.4,85.3,0,2.54,104.8,2.232,0.0833,0.022,0.0758,0.867,11.33,-9,-9,-9
14,MBG,RH,3,12/14/22,1200,SAMPLE,0.41,85.7,0,2.53,103.2,2.2507,0.077,0.0319,0.0787,0.763,7.98,-9,-9,-9
14,MBG,RH,5,12/16/22,1200,SAMPLE,0.33,70.8,0,3.22,93.4,3.6293,0.0782,0.0315,0.0993,0.93,28.02,-9,-9,-9
14,MBG,RH,7,12/18/22,1200,SAMPLE,0.37,75.5,0,2.39,100.7,3.1918,0.052,0.0211,0.0728,0.769,15.57,-9,-9,-9
14,MBG,RH,9,12/20/22,1200,SAMPLE,0.35,72.9,0,2.25,94.2,2.0426,0.075,0.0094,0.0937,0.952,23.41,-9,-9,-9
14,MBG,RH,11,12/22/22,1200,SAMPLE,0.34,73.5,0,2.12,92.5,1.5808,0.0626,0.0033,0.0806,0.96,27.39,-9,-9,-9
14,MBG,RH,13,12/24/22,1200,SAMPLE,0.34,71.9,0,2.2,89.7,0.4185,0.1109,-0.0004,0.0925,1.249,36.44,-9,-9,-9
14,MBG,RH,15,12/26/22,1200,SAMPLE,0.37,73.7,0,2.29,92.6,-0.0956,0.1248,-0.0008,0.0954,1.339,27.66,-9,-9,-9
14,MBG,RH,17,12/28/22,1200,SAMPLE,0.37,70.9,0,2.26,88.3,-0.1666,0.0494,-0.0016,0.0872,1.523,21.53,-9,-9,-9
14,MBG,RH,18,12/29/22,1200,SAMPLE,0.36,67.9,0,2.16,85,-0.1745,0.0422,-0.0008,0.0837,1.519,19.76,-9,-9,-9
14,MBG,RH,19,12/30/22,1200,SAMPLE,0.36,68.4,0,2.21,85.7,-0.1818,0.0473,-0.0009,0.0831,1.405,18.1,-9,-9,-9
14,MBG,RH,20,12/31/22,1200,SAMPLE,0.28,58.8,0,2.42,85.6,2.3102,0.0661,0.0069,0.1105,0.995,16.61,-9,-9,-9
14,MBG,RH,21,01/01/23,1200,SAMPLE,0.31,65.6,0,4.49,85.7,3.6162,0.0517,0.0274,0.1627,1.214,50.88,-9,-9,-9
14,MBG,RH,22,01/02/23,1200,SAMPLE,0.24,48.5,0,4.91,63.6,4.5698,0.074,0.0571,0.2374,1.282,88.17,-9,-9,-9
14,MBG,RH,24,01/03/23,0854,BOTH,0.27,56.3,0,5.44,71.5,5.4096,0.1167,0.0895,0.2447,1.472,61.64,-9,-9,-9
15,MBG,RL,1,01/03/23,1200,SAMPLE,0.28,57.4,0,5.47,73.3,5.5993,0.1266,0.0887,0.2582,1.17,-9,-9,-9,-9
15,MBG,RL,4,01/04/23,1200,SAMPLE,0.2,40.4,0,6.71,50.5,6.9182,0.0779,0.0708,0.298,1.706,-9,-9,-9,-9
15,MBG,RL,5,01/04/23,2000,SAMPLE,0.13,39.5,0.03,7.54,50.9,7.2608,0.0799,0.069,0.3248,1.776,-9,-9,-9,-9
15,MBG,RL,7,01/05/23,1200,SAMPLE,0.13,39.6,0.04,8.7,54.1,7.2573,0.0818,0.0877,0.3174,1.788,-9,-9,-9,-9
15,MBG,RL,10,01/06/23,1200,SAMPLE,0.21,37.7,0.04,7.67,49.5,7.5834,0.0834,0.0933,0.3251,1.83,-9,-9,-9,-9
15,MBG,RL,13,01/07/23,1200,SAMPLE,0.12,40.3,0.04,6.96,50.5,7.652,0.0869,0.0992,0.2999,1.761,-9,-9,-9,-9
15,MBG,RL,16,01/08/23,1200,SAMPLE,0.22,39.1,0.04,6.98,50.8,7.7317,0.0762,0.0946,0.2932,1.636,-9,-9,-9,-9
15,MBG,RL,24,01/09/23,0916,BOTH,0.2,40.4,0.04,6.98,52.7,7.7193,0.0884,0.1041,0.2847,1.67,-9,-9,-9,-9
16,MBG,RP,1,01/09/23,1200,SAMPLE,0.28,43.1,0,6.19,50,7.6362,0.0715,0.0925,0.277,1.683,43.84,8.183,7.432,-9
16,MBG,RP,4,01/10/23,1200,SAMPLE,0.28,44.1,0,6.24,53.2,7.7838,0.0592,0.0884,0.2474,1.393,31.58,8.193,7.421,-9
16,MBG,RP,7,01/11/23,1200,SAMPLE,0.26,41.7,0,5.82,51.8,7.5266,0.054,0.0822,0.2367,1.821,32.09,8.176,7.123,-9
16,MBG,RP,10,01/12/23,1200,SAMPLE,0.28,39.4,0,5.2,50.7,7.7355,0.0758,0.0925,0.2557,1.594,51.21,8.635,6.927,-9
16,MBG,RP,13,01/13/23,1200,SAMPLE,0.36,41.9,0,5.32,53.2,7.6027,0.118,0.095,0.225,1.52,29.25,7.756,6.439,-9
16,MBG,RP,16,01/14/23,1200,SAMPLE,0.3,43.2,0,5.04,59.5,7.7342,0.1106,0.0941,0.2025,1.428,23.96,8.796,6.469,-9
16,MBG,RP,19,01/15/23,1200,SAMPLE,0.31,48.3,0,5.25,66.3,7.7045,0.094,0.0862,0.19,1.289,21.35,8.518,6.376,-9
16,MBG,RP,24,01/16/23,0915,BOTH,0.27,43.8,0,4.59,61.8,7.7445,0.0986,0.0793,0.1777,1.22,15.76,7.634,5.938,-9
17,MBG,RT,1,01/16/23,1200,SAMPLE,0.21,43.3,0,5.76,66.8,7.7313,0.1198,0.0856,0.1777,1.165,22.02,6.768,5.994,-9
17,MBG,RT,4,01/17/23,1200,SAMPLE,0.21,46.2,0.03,5.43,71.6,7.5444,0.1321,0.0772,0.1915,1.043,48.01,6.238,5.573,-9
17,MBG,RT,7,01/18/23,1200,SAMPLE,0.22,44.9,0,6.24,73.1,7.672,0.1459,0.0723,0.1607,1.101,21.93,6.189,6.429,-9
17,MBG,RT,10,01/19/23,1200,SAMPLE,0.2,35.1,0,5.91,64,7.3958,0.1055,0.0703,0.3665,1.447,109.72,6.429,6.034,-9
17,MBG,RT,13,01/20/23,1200,SAMPLE,0.21,33.3,0.03,6.93,51,7.2589,0.0403,0.0725,0.5453,2.279,225.95,9.532,7.124,-9
17,MBG,RT,16,01/21/23,1200,SAMPLE,0.19,24.5,0.04,6.56,39.1,7.1809,0.0388,0.0902,0.7313,2.85,378.82,10.07,6.696,-9
17,MBG,RT,19,01/22/23,1200,SAMPLE,0.2,29.2,0.04,6.78,43.1,7.3688,0.0532,0.097,0.5754,2.307,211.01,8.889,6.899,-9
17,MBG,RT,24,01/23/23,0927,BOTH,0.2,31.4,0.03,6.67,48.7,7.6047,0.1027,0.0916,0.4348,1.716,113.59,7.752,6.635,-9
18,MBG,RB,1,01/23/23,1200,SAMPLE,0.27,31,0.07,6.19,45.8,7.5812,0.0383,0.0835,0.4587,1.857,112.08,7.23,6.494,-9
18,MBG,RB,4,01/24/23,1200,SAMPLE,0.26,29.3,0.07,6.11,44.9,7.6542,0.0426,0.0833,0.4199,1.692,77.83,7.524,6.271,-9
18,MBG,RB,7,01/25/23,1200,SAMPLE,0.26,28.3,0.07,6.35,45.2,7.3585,0.0521,0.0955,0.4329,1.833,83.01,7.392,6.673,-9
18,MBG,RB,10,01/26/23,1200,SAMPLE,0.26,29.9,0.07,6.36,48.2,7.6926,0.0588,0.0979,0.3807,1.537,63.63,7.273,6.739,-9
18,MBG,RB,13,01/27/23,1200,SAMPLE,0.26,33.1,0,6.16,51.7,7.5589,0.0543,0.0882,0.3859,1.58,99.38,7.367,6.677,-9
18,MBG,RB,16,01/28/23,1200,SAMPLE,0.26,36.5,0,5.99,54.1,7.521,0.0591,0.0855,0.2819,1.393,53.2,6.647,6.526,-9
18,MBG,RB,19,01/29/23,1200,SAMPLE,0.26,41.1,0,6.05,56.8,7.714,0.0592,0.0773,0.2511,1.293,36.74,6.711,6.57,-9
18,MBG,RB,24,01/30/23,0917,BOTH,0.26,37.3,0,6.12,58.4,7.4575,0.0357,0.0581,0.2277,1.229,43.22,6.032,6.613,-9
19,MBG,RN,1,01/30/23,1200,SAMPLE,0.26,37.1,0,6.03,56.4,7.2972,0.0071,0.0475,0.2139,1.316,52.89,6.454,5.992,-9
19,MBG,RN,4,01/31/23,1200,SAMPLE,0.29,48.9,0,6.32,54.4,7.2201,0.0613,0.0604,0.2218,1.408,56.37,6.196,6.295,-9
19,MBG,RN,7,02/01/23,1200,SAMPLE,0.27,60.4,0,5.87,56.8,7.5283,0.064,0.0611,0.2042,1.307,46.75,6.335,5.871,-9
19,MBG,RN,10,02/02/23,1200,SAMPLE,0.26,49.6,0,6.44,51.5,7.6044,0.0436,0.0668,0.2122,1.364,38.05,6.075,6.514,-9
19,MBG,RN,13,02/03/23,1200,SAMPLE,0.27,54.8,0,6.24,54.7,7.6905,0.0726,0.0712,0.2098,1.246,30.58,6.748,6.214,-9
19,MBG,RN,16,02/04/23,1200,SAMPLE,0.26,50.9,0,6.07,54.7,7.3273,0.0607,0.0746,0.1873,1.154,24.44,6.548,6.139,-9
19,MBG,RN,19,02/05/23,1200,SAMPLE,0.27,46.1,0,6.06,55.1,7.3422,0.0582,0.0786,0.1897,1.17,25.05,6.601,6.216,-9
19,MBG,RA,5,02/06/23,0000,SAMPLE,0,0,0,0,0,0.0459,-0.0003,0.0026,0.005,0.014,0,0.5474,0.0203,-9
19,MBG,RN,24,02/06/23,0904,BOTH,0.27,44.1,0,6.33,53.8,7.4069,0.05,0.0774,0.1994,1.199,25.41,6.791,6.335,-9
